top_level_category,subcategory,product_name,image_url,product_url,price
special-buys,easter,Bakers Life Fruit Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_2.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/fruit-hot-cross-buns/,$2.99
special-buys,easter,Bakers Life Mini Chocolate Chip Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_3.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/mini-chocolate-chip-hot-cross-buns/,$2.99
special-buys,easter,Bakers Life Fruitless Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_4.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/fruitless-hot-cross-buns/,$2.99
special-buys,easter,Specially Selected Brioche Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_5.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/specially-selected-brioche-hot-cross-buns/,$2.99
special-buys,easter,Specially Selected Chocolate Chip Brioche Hot Cross Buns,https://www.aldi.com.au/fileadmin/fm-dam/images/Easter_2019/Products/WK06/ALN1992_EASTER-1x1_228x128_6.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/chocolate-chip-brioche-hot-cross-buns/,$2.99
special-buys,easter,Will & Jess Easter Cupcake Mixes with Icing 440g-465g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_1.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/will-jess-easter-cupcake-mixes-with-icing-440g-465/,$2.99
special-buys,easter,Has No Gluten Free Chocolate Mud Cake Mix 470g-500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_4.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/has-no-gluten-free-chocolate-mud-cake-mix-470g-500/,$3.69
special-buys,easter,Has No Gluten Free Brownie Mix 470g-500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_6.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/has-no-gluten-free-brownie-mix-470g-500g/,$3.69
special-buys,easter,Has No Gluten Free Cupcake Mix 470g-500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_5.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/has-no-gluten-free-cupcake-mix-470g-500g/,$3.69
special-buys,easter,Betty Crocker Chocolate Caramel Muffin Mix 500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_2.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/betty-crocker-chocolate-caramel-muffin-mix-500g/,$3.99
special-buys,easter,Betty Crocker Brownie Mixes 500g,https://www.aldi.com.au/fileadmin/fm-dam/Products/Special_Buys/Special_Buys_2019/Week_10/WED/WK10_1x1_228x128_3.jpg,https://www.aldi.com.au/en/special-buys/easter/irresistible-easter-detail/ps/p/betty-crocker-brownie-mixes-500g/,$3.99
